2022-10-19 11:32:01.705  INFO 7 --- [qtp786722925-1614] r.h.app.handler.file.LocalFileHandler    : Uploaded file: [image.png] to directory: [/root/.halo/upload/2022/10/image-1666150321614.png] successfully
2022-10-19 11:34:34.936  INFO 7 --- [qtp786722925-1608] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=image-1666150474936, extension=png, relativePath=upload/2022/10/image-1666150474936.png, basePath=/root/.halo, fullName=image-1666150474936.png, fullPath=/root/.halo/upload/2022/10/image-1666150474936.png, subPath=upload/2022/10)]
2022-10-19 11:34:34.936  INFO 7 --- [qtp786722925-1608] r.h.app.handler.file.LocalFileHandler    : Uploading file: [image.png] to directory: [upload/2022/10/image-1666150474936.png]
2022-10-19 11:34:34.937  INFO 7 --- [qtp786722925-1608] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=image-1666150474936-thumbnail, extension=png, relativePath=upload/2022/10/image-1666150474936-thumbnail.png, basePath=/root/.halo, fullName=image-1666150474936-thumbnail.png, fullPath=/root/.halo/upload/2022/10/image-1666150474936-thumbnail.png, subPath=upload/2022/10)]
2022-10-19 11:34:35.037  INFO 7 --- [qtp786722925-1608] r.h.app.handler.file.LocalFileHandler    : Generated thumbnail image, and wrote the thumbnail to [/root/.halo/upload/2022/10/image-1666150474936-thumbnail.png]
2022-10-19 11:34:35.038  INFO 7 --- [qtp786722925-1608] r.h.app.handler.file.LocalFileHandler    : Uploaded file: [image.png] to directory: [/root/.halo/upload/2022/10/image-1666150474936.png] successfully
2022-10-19 11:34:58.495  INFO 7 --- [pool-3-thread-4] r.h.a.service.impl.BasePostServiceImpl   : Post with id: [130] is a draft and visits will not be updated
2022-10-19 11:35:32.972  INFO 7 --- [pool-3-thread-4] r.h.a.service.impl.BasePostServiceImpl   : Post with id: [130] is a draft and visits will not be updated
2022-10-19 11:36:03.149  INFO 7 --- [pool-3-thread-4] r.h.a.service.impl.BasePostServiceImpl   : Post with id: [130] is a draft and visits will not be updated
2022-10-19 11:44:21.713  INFO 7 --- [qtp786722925-1607] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=image-1666151061713, extension=png, relativePath=upload/2022/10/image-1666151061713.png, basePath=/root/.halo, fullName=image-1666151061713.png, fullPath=/root/.halo/upload/2022/10/image-1666151061713.png, subPath=upload/2022/10)]
2022-10-19 11:44:21.714  INFO 7 --- [qtp786722925-1607] r.h.app.handler.file.LocalFileHandler    : Uploading file: [image.png] to directory: [upload/2022/10/image-1666151061713.png]
2022-10-19 11:44:21.715  INFO 7 --- [qtp786722925-1607] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=image-1666151061713-thumbnail, extension=png, relativePath=upload/2022/10/image-1666151061713-thumbnail.png, basePath=/root/.halo, fullName=image-1666151061713-thumbnail.png, fullPath=/root/.halo/upload/2022/10/image-1666151061713-thumbnail.png, subPath=upload/2022/10)]
2022-10-19 11:44:21.779  INFO 7 --- [qtp786722925-1607] r.h.app.handler.file.LocalFileHandler    : Generated thumbnail image, and wrote the thumbnail to [/root/.halo/upload/2022/10/image-1666151061713-thumbnail.png]
2022-10-19 11:44:21.780  INFO 7 --- [qtp786722925-1607] r.h.app.handler.file.LocalFileHandler    : Uploaded file: [image.png] to directory: [/root/.halo/upload/2022/10/image-1666151061713.png] successfully
2022-10-19 11:44:48.631  INFO 7 --- [qtp786722925-1614] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=image-1666151088631, extension=png, relativePath=upload/2022/10/image-1666151088631.png, basePath=/root/.halo, fullName=image-1666151088631.png, fullPath=/root/.halo/upload/2022/10/image-1666151088631.png, subPath=upload/2022/10)]
2022-10-19 11:44:48.631  INFO 7 --- [qtp786722925-1614] r.h.app.handler.file.LocalFileHandler    : Uploading file: [image.png] to directory: [upload/2022/10/image-1666151088631.png]
2022-10-19 11:44:48.632  INFO 7 --- [qtp786722925-1614] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=image-1666151088631-thumbnail, extension=png, relativePath=upload/2022/10/image-1666151088631-thumbnail.png, basePath=/root/.halo, fullName=image-1666151088631-thumbnail.png, fullPath=/root/.halo/upload/2022/10/image-1666151088631-thumbnail.png, subPath=upload/2022/10)]
2022-10-19 11:44:48.693  INFO 7 --- [qtp786722925-1614] r.h.app.handler.file.LocalFileHandler    : Generated thumbnail image, and wrote the thumbnail to [/root/.halo/upload/2022/10/image-1666151088631-thumbnail.png]
2022-10-19 11:44:48.694  INFO 7 --- [qtp786722925-1614] r.h.app.handler.file.LocalFileHandler    : Uploaded file: [image.png] to directory: [/root/.halo/upload/2022/10/image-1666151088631.png] successfully
2022-10-19 11:45:44.072  WARN 7 --- [Timer-0] run.halo.app.cache.AbstractCacheStore    : Cache key: [e928b36e0ff646b2861ce7b857e1f1f4] has been expired
2022-10-19 11:45:44.073  WARN 7 --- [Timer-0] run.halo.app.cache.AbstractCacheStore    : Cache key: [fbf814d0a4ad43d4869c44ce0d11c912] has been expired
2022-10-19 11:46:44.072  WARN 7 --- [Timer-0] run.halo.app.cache.AbstractCacheStore    : Cache key: [58636a740e7f499eae80c6fa9a49df2e] has been expired
2022-10-19 11:46:59.581  INFO 7 --- [pool-3-thread-4] r.h.a.service.impl.BasePostServiceImpl   : Post with id: [130] is a draft and visits will not be updated
2022-10-19 11:57:44.072  WARN 7 --- [Timer-0] run.halo.app.cache.AbstractCacheStore    : Cache key: [bd284dacf45e4fc694d39f932c4b8b07] has been expired
2022-10-19 14:11:06.161  INFO 7 --- [pool-3-thread-4] r.h.a.service.impl.BasePostServiceImpl   : Post with id: [130] is a draft and visits will not be updated
2022-10-19 14:21:44.072  WARN 7 --- [Timer-0] run.halo.app.cache.AbstractCacheStore    : Cache key: [cdf12da6768c4864b9666086a2cedd05] has been expired
2022-10-19 14:27:39.685  WARN 7 --- [qtp786722925-1782] r.h.app.handler.file.LocalFileHandler    : Thumbnail: [/root/.halo/upload/2022/09/爱心-thumbnail.png] may not exist
2022-10-19 14:28:11.016  WARN 7 --- [qtp786722925-1607] r.h.app.handler.file.LocalFileHandler    : Thumbnail: [/root/.halo/upload/2022/09/打赏-thumbnail.jpg] may not exist
2022-10-19 14:31:03.909  INFO 7 --- [qtp786722925-1755] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=支付宝, extension=jpg, relativePath=upload/2022/10/支付宝.jpg, basePath=/root/.halo, fullName=支付宝.jpg, fullPath=/root/.halo/upload/2022/10/支付宝.jpg, subPath=upload/2022/10)]
2022-10-19 14:31:03.909  INFO 7 --- [qtp786722925-1755] r.h.app.handler.file.LocalFileHandler    : Uploading file: [支付宝.jpg] to directory: [upload/2022/10/支付宝.jpg]
2022-10-19 14:31:03.915  INFO 7 --- [qtp786722925-1755] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=支付宝-thumbnail, extension=jpg, relativePath=upload/2022/10/支付宝-thumbnail.jpg, basePath=/root/.halo, fullName=支付宝-thumbnail.jpg, fullPath=/root/.halo/upload/2022/10/支付宝-thumbnail.jpg, subPath=upload/2022/10)]
